Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
"LightStreamerPack/LightStreamerPack/GameplayChat/ChatView/ChatMask/ChatInput/Text Area/Placeholder",16398498426880,"","Enter text... [esc to close]","","Wpisz tekst... [esc aby zamknąć]",""
"LightStreamerPack/LightStreamerPack/GameplayChat/Tootip",16598709334016,"","Type [t] to chat","","Wciśnij [t] by otworzyć czat",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/Title",33487900667904,"","Register New Game","","Zarejestruj Nową Grę",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/Name/Title",33533048156160,"","Title
","","Tytuł",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/GamePath/Title",33554317471744,"","Path to Game","","Ścieżka do Gry",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/PreviewPath/Title",33593450328064,"","Path to Preview","","Ścieżka do Podglądu",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/AllowScreens/Title",33788942643200,"","Allow Random Screen Sharing","","Zezwól na zrzuty ekranu",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/Description/Title",33837714010112,"","Description","","Opis",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/Description/DescriptionInput/Text Area/Placeholder",33875001372672,"","Enter text...","","Opis gry...",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/GamePath/ExeInput/Text Area/Placeholder",33921340043264,"","Select .exe file...","","Wybierz plik .exe...",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/PreviewPath/PngInput/Text Area/Placeholder",33972195979264,"","Select .png file...","","Wybierz plik .png...",""
"MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/Name/TitleInput/Text Area/Placeholder",34069151510528,"","Enter text...","","Tytuł gry...",""
"VirusOffenseMainMenu/Prefab Mode in Context/VirusOffenseMainMenu/Buttons/PlayMainMode/Text (TMP)",34496823717888,"","MAIN MODE","","TRYB GŁÓWNY",""
"VirusOffenseMainMenu/Prefab Mode in Context/VirusOffenseMainMenu/Buttons/PlaySurvival/Text (TMP)",34610741014528,"","SURVIVAL","","PRZETRWANIE",""
"VirusOffenseMainMenu/Prefab Mode in Context/VirusOffenseMainMenu/Buttons/PlayTutorial/Text (TMP)",34755004100608,"","TUTORIAL","","TUTORIAL",""
"VirusOffenseMainMenu/Prefab Mode in Context/VirusOffenseMainMenu/Buttons/OpenOptions/Text (TMP)",34865993773056,"","OPTIONS","","OPCJE",""
"VirusOffenseMainMenu/Prefab Mode in Context/VirusOffenseMainMenu/Buttons/QuitGame/Text (TMP)",34902933008384,"","QUIT","","WYJDŹ",""
"IntroOverlay/Prefab Mode in Context/IntroOverlay/InfoPanel/NameData/Title",1026789877772288,"","VIRUS_NAME:","","NAZWA_WIRUSA:",""
"IntroOverlay/Prefab Mode in Context/IntroOverlay/InfoPanel/CreationData/Title",1026930466648064,"","CREATION_DATE:","","DATA_UTWORZENIA:",""
"IntroOverlay/Prefab Mode in Context/IntroOverlay/InfoPanel/DangerData/Title",1026970564194304,"","DANGER_LEVEL:","","POZIOM_ZAGROŻENIA:",""
"IntroOverlay/Prefab Mode in Context/IntroOverlay/InfoPanel/DangerData/Value",1031849923866624,"","<s>LOW</s> <size=20><color=""yellow"">EXTREMELY HIGH</size></color>","","<s>NISKI</s> <size=16><color=""yellow"">EKSTREMALNIE WYSOKI</size></color>",""
"IntroOverlay/Prefab Mode in Context/IntroOverlay/InfoPanel/FavoriteData/Title",1032084855222272,"","LIKES:","","HOBBY:",""
"IntroOverlay/Prefab Mode in Context/IntroOverlay/InfoPanel/FavoriteData/Value",1032111128342528,"","RETRO GAMES","","GRY RETRO",""
"IntroOverlay/Prefab Mode in Context/IntroOverlay/InfoPanel/Continue",1032136705208320,"","PRESS TO CONTINUE","","NACIŚNIJ BY KONTYNUOWAĆ",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/SurvivalDefeat/Stats/StatWaves/Title",1054361395163136,"","Waves survived: 
","","Przetrwano fal: 
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/SurvivalDefeat/Stats/StatTime/Title",1054441162436608,"","Time survived: 
","","Przetrwano czasu: 
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/SurvivalDefeat/Stats/StatKills/Title",1054475232768000,"","Enemies killed:
","","Pokonanych przeciwników:
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/SurvivalDefeat/Stats/StatReward/Title",1054522024423424,"","Reward:","","Nagroda:",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/SurvivalDefeat/Btn_Cancel/Text (TMP)",1054578874019840,"","RESTART","","RESTART",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/SurvivalDefeat/Btn_Yes/Text (TMP)",1054601137385472,"","HOME","","POWRÓT",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MainModeDefeat/Stats/StatTime/Title",1054708629008384,"","Total Time: 
","","Czas: 
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MainModeDefeat/Stats/StatKills/Title",1054743307513856,"","Total Enemies Killed:
","","Pokonanych Przeciwników:
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MainModeDefeat/Stats/StatReward/Title",1054798504554496,"","Reward (50% Defeat penalty):","","Nagroda (50% Kara przegranej):",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MissionSuccess/Stats/StatTime/Title",1056065847062528,"","Time: 
","","Czas: 
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MissionSuccess/Stats/StatKills/Title",1056097996402688,"","Enemies killed:
","","Pokonanych Przeciwników:
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MissionSuccess/Btn_Continue/Text (TMP)",1056175326785536,"","CONTINUE","","KONTYNUUJ",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MainModeVictory/Stats/StatKills/Title",1056303555047424,"","Total Enemies Killed:
","","Pokonanych Przeciwników:
",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MainModeVictory/Btn_Yes/Text (TMP)",1056376682737664,"","HOME","","POWRÓT",""
"FinishGameEnd/Prefab Mode in Context/FinishGameEnd/MainModeVictory/Btn_Cancel/Text (TMP)",1056392864362496,"","RESTART","","RESTAR",""
"UI/UI/SurvivalWavesUi/WaveEndPanel/Text (TMP)",1074669808283648,"","Prepare for next waves...","","Przygotuj się na kolejne fale...",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/WavesMission/Title",1074955587186688,"","Cleanup","","Czystka",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/WavesMission/Help",1074981000474624,"","Defeat all enemies in the area","","Pokonaj przeciwników na arenie",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/TimeMission/Title",1075150475522048,"","Time attack","","Próba czasu",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/TimeMission/Help",1075196176658432,"","Survive incoming waves of enemies","","Przetrwaj nadciągające fale przeciwników",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/EliteMission/Title",1076801563291648,"","Defeat elite enemy","","Pokonaj elitarnego wroga",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/EliteMission/Help",1076936108175360,"","Beat the elite enemy of this area","","Pokonaj elitarnego wroga na tej arenie",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/BossMission/Title",1077098138333184,"","Defeat ???","","Pokonaj ???",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/MainGameplay/MissionObjectives/BossMission/Help",1077294561783808,"","She seems vulerable when homing viruses are destroyed...","","Wydaje się być wrażliwa gdy naprowadzane pociski są zniszczone...",""
"MainGame/Nodes/Rest/Cat",1089635907039232,"","> cat ""Node/High integrity area.txt""","","> cat ""Węzeł/Strefa wysokiej integralności.txt""",""
"MainGame/Nodes/Rest/Message1",1104543247790080,"","Thankfully this place wasn't corrupted by any virus activity;","","Na szczęście to miejsce nie zostało całkowicie zepsute przez aktywność wirusów;",""
"MainGame/Nodes/Rest/Message2",1104545957310464,"","You may decide to <b>regain your Integrity Points now</b> or convert it into <b>one Integrity Booster</b> to be used during combat;","","Możesz zdecydować by <b>odzyskać Punkty Integralności teraz</b> lub przekonwertować je na <b>jeden Wzmacniacz Integralności</b> do użycia w trakcie walki;",""
"MainGame/Nodes/Rest/HealNow",1106401236381696,"","HEAL_NOW","","ULECZ_TERAZ",""
"MainGame/Nodes/Rest/Get_Booster",1106403006377984,"","GET_BOOSTER","","WEZ_WZMACNIACZ",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/Dialogue/DialogueLine",3999377822347264,"","Hi there~!
Ha, I managed to get here before you.
We're close near the mainfreame entrance, but before we enter you need to learn how to fight those mean viruses and to avoid their attacks, are you ready?
Then let's go! :D","","Hi there~!
Ha, I managed to get here before you.
We're close near the mainfreame entrance, but before we enter you need to learn how to fight those mean viruses and to avoid their attacks, are you ready?
Then let's go! :D",""
"GameplayCanvas/Prefab Mode in Context/GameplayCanvas/Dialogue/DialogueInput/ChatInput/Text Area/Placeholder",4802422000873472,"","Enter message you want to send...","","Wpisz co chcesz powiedzieć...",""
"CreeperTitle",4817141726212096,"","CREEPER","","CREEPER",""
"CreeperName_Title",4817232243486720,""," ","","",""
"CreeperDate_Value",4817459377631232,"","1972","","1972",""
"VirusOffenseTutorial/UI/FinishGameEnd/Popup_Quit/Quit title",4836966179565568,"","Tutorial Complete!","","Tutorial ukończony!",""
"VirusOffenseTutorial/UI/FinishGameEnd/Popup_Quit/Text (TMP)",4837204294397952,"","Congratulations on completing tutorial! 

Now you can cgo back to Kohaku's room or play survival mode! ","","Udało ci się ukończyć tutorial! 

Możesz teraz wrócić do pokoju Kohaku lub zagrać w tryb survival! ",""
"CreeperDate_Title",24015140557463552,"","Created: ","","Data_powstania:",""
"CreeperDanger_Title",24015273424625664,"","Danger_Level:","","Zagrożenie:",""
"CreeperDanger_Value",24016220204867584,"","<s>low</s> extreme","","<s>niski</s> wysoki",""
"CreeperFavorite_Title",24019591636754432,"","Likes:","","Lubi:",""
"CreeperFavorite_Value",24019594086227968,"","Retro, Arcade Games","","Retro, Gry Arkadowe",""
"CreeperIntro_Header",24032632675803136,"","> cat ""Characters/Creeper.txt""","","> cat ""Postacie/Creeper.txt""",""
